ᐱᓕᕆᕕᐊᓄᑦ	ᐱ@ᓕᕆ@ᕕ@ᐊᓄᑦ
ᑕᖅᑲᒃᑯᓂᖓ	ᑕᖅᑲᒃᑯ@ᓂᖓ
ᐊᓯᐊᑦᑕᐅᖅ	ᐊᓯ@ᐊ@ᑦᑕᐅᖅ
ᑕᐃᒃᑯᐊᓗ	ᑕᐃᒃᑯᐊ@ᓗ
ᐊᑯᓂᒃ	ᐊᑯ@ᓂᒃ
ᑲᔪᓯᒋᐊᕆᑦ	ᑲᔪᓯ@ᒋᐊ@ᕆᑦ
ᒥᓂᔅᑕᖃᕐᕕᒃ	ᒥᓂᔅᑕ@ᖃᕐᕕᒃ
ᓱᓇᓂᒃ	ᓱᓇ@ᓂᒃ
ᒪᑉᐱᒐᖅ	ᒪᑉᐱ@ᒐᖅ
ᑕᐃᕕᑦ	ᑕᐃ@ᕕᑦ
ᐊᖏᔪᒥᑦ	ᐊᖏ@ᔪ@ᒥᑦ
ᐱᕙᓪᓕᐊᔪᓕᕆᓂᖅ	ᐱ@ᕙᓪᓕᐊ@ᔪ@ᓕᕆ@ᓂᖅ
ᐊᑐᓂᑦ	ᐊᑐᓂᑦ
ᒪᑉᐱᖅᑐᒐᕐᒧᑦ	ᒪᑉᐱᖅ@ᑐ@ᒐᕐ@ᒧᑦ
ᓴᓂᑭᓗᐊᑉ	ᓴᓂᑭᓗᐊ@ᑉ
ᓴᖅᑭᑎᕆᓂᖅ	ᓴᖅᑭ@ᑎ@ᕆ@ᓂᖅ
ᑕᓪᓕᒪᓂᒃ	ᑕᓪᓕᒪ@ᓂᒃ
ᐅᖓᓯᒃᑐᒧᑦ	ᐅᖓᓯᒃ@ᑐ@ᒧᑦ
ᐃᓚᒌᓄᓪᓗ	ᐃᓚ@ᒌ@ᓄᓪ@ᓗ
ᐊᔾᔨᖓᓂᑦ	ᐊᔾᔨ@ᖓᓂᑦ
ᐊᔾᔨᒌᖏᒻᒪᑕ	ᐊᔾᔨ@ᒌ@ᖏᒻ@ᒪᑕ
ᖃᒪᓂᑦᑐᐊᕐᒥᑦ	ᖃᒪᓂᑦᑐᐊᕐ@ᒥᑦ
ᖁᔭᓐᓇᒦᕈᒪᒻᒥᔭᕋ	ᖁᔭᓐᓇᒦ@ᕈᒪ@ᒻᒥ@ᔭᕋ
ᐱᖁᔭᒃᓴᒧᑦ	ᐱ@ᖁ@ᔭ@ᒃᓴ@ᒧᑦ
ᑐᐊᕕᕐᓇᖅᑐᖃᖅᑎᓪᓗᒍ	ᑐᐊᕕᕐ@ᓇᖅ@ᑐ@ᖃᖅ@ᑎᓪᓗᒍ
ᒥᓂᔅᑕᐅᔪᒥᒃ	ᒥᓂᔅᑕ@ᐅ@ᔪ@ᒥᒃ
ᐃᓗᐊᓂᑦ	ᐃᓗ@ᐊᓂᑦ
ᐊᑭᖓᓄᑦ	ᐊᑭ@ᖓᓄᑦ
ᓇᒧᑐᐃᓐᓇᖅ	ᓇᒧ@ᑐᐃᓐᓇᖅ
ᐊᒥᑦᑐᕐᒧᑦ	ᐊᒥᑦᑐᕐ@ᒧᑦ
ᒐᕙᒪᒃᑯᓐᓂᒃ	ᒐᕙᒪ@ᒃᑯᓐ@ᓂᒃ
ᐸᕐᓇᐅᑦ	ᐸᕐᓇ@ᐅᑦ
ᑕᒻᒪᕈᒪ	ᑕᒻᒪ@ᕈᒪ
ᐃᖏᕐᕋᔪᓕᕆᔨᒃᑯᓐᓄᓪᓗ	ᐃᖏᕐᕋ@ᔪ@ᓕᕆ@ᔨ@ᒃᑯᓐ@ᓄᓪ@ᓗ
ᒐᕙᒪᒃᑯᓐᓂᑦ	ᒐᕙᒪ@ᒃᑯᓐ@ᓂᑦ
ᑲᒪᔨᐅᔪᓄᑦ	ᑲᒪ@ᔨ@ᐅ@ᔪ@ᓄᑦ
ᑭᐅᔪᒪᒍᕕᐅᒃ	ᑭᐅ@ᔪᒪ@ᒍᕕᐅᒃ
ᓂᕆᐅᒃᑐᑦ	ᓂᕆᐅᒃ@ᑐᑦ
ᖃᐅᔨᓴᕐᓂᖅ	ᖃᐅᔨ@ᓴᕐ@ᓂᖅ
ᖃᒪᓂᖅᑐᐊᖅ	ᖃᒪᓂᖅᑐᐊᖅ
ᐃᑲᔪᕈᑕᐅᔪᓄᑦ	ᐃᑲᔪ@ᕈᑕ@ᐅ@ᔪ@ᓄᑦ
ᐅᖃᓚᐅᕐᒪᑦ	ᐅᖃ@ᓚᐅᕐ@ᒪᑦ
ᐃᑲᔪᑲᐃᓐᓇᒃᑭᑦ	ᐃᑲᔪ@ᑲᐃᓐᓇ@ᒃᑭᑦ
ᑕᒪᒃᑯᓄᖓ	ᑕᒪᒃᑯ@ᓄᖓ
ᐄᐳᕈᓪ	ᐄᐳᕈᓪ
ᑕᒪᑦᓱᒪ	ᑕᒪᑦᓱ@ᒪ
ᐊᑭᐅᔪᑦ	ᐊᑭ@ᐅ@ᔪᑦ
ᒐᕙᒪᓕᕆᔨᒃᑯᓐᓄᑦ	ᒐᕙᒪ@ᓕᕆ@ᔨ@ᒃᑯᓐ@ᓄᑦ
ᐱᖓᓱᓂᒃ	ᐱᖓᓱ@ᓂᒃ
ᐊᒥᓱᓪᓗ	ᐊᒥᓱᓪ@ᓗ
ᑭᓇᒥᒃ	ᑭᓇ@ᒥᒃ
ᐃᒪᓐᓇᒃ	ᐃᒪᓐᓇᒃ
ᐊᖓᔪᖅᑳᖃᕐᕕᒃ	ᐊᖓᔪᖅᑳ@ᖃᕐᕕᒃ
ᕕᕝᕗᐊᕆ	ᕕᕝᕗᐊᕆ
ᐃᓚᒌᓄᑦ	ᐃᓚ@ᒌ@ᓄᑦ
ᑎᑭᕋᕐᔪᐊᒧᑦ	ᑎᑭᕋᕐᔪᐊ@ᒧᑦ
ᒐᕙᒪᓕᕆᔨᒃᑯᓐᓂᑦ	ᒐᕙᒪ@ᓕᕆ@ᔨ@ᒃᑯᓐ@ᓂᑦ
ᑕᒪᒃᑯᓇᓂ	ᑕᒪᒃᑯ@ᓇᓂ
ᐅᕙᑦᑎᓐᓄᑦ	ᐅᕙ@ᑦᑎᓐᓄᑦ
ᕿᓂᕐᓂᕐᒧᑦ	ᕿᓂᕐ@ᓂᕐ@ᒧᑦ
ᐊᐅᓚᑦᑎᔨ	ᐊᐅᓚᑦ@ᑎ@ᔨ
ᓈᒻᒪᒃᐳᖅ	ᓈᒻᒪᒃ@ᐳᖅ
ᑖᒃᑯᐊᑦᑕᐅᖅ	ᑖᒃᑯᐊ@ᑦᑕᐅᖅ
ᐊᓯᐊ	ᐊᓯ@ᐊ
ᒪᑯᐊ	ᒪᑯᐊ
ᒐᕙᒪᓄᑦ	ᒐᕙᒪ@ᓄᑦ
ᑐᕌᖓᔪᒥᒃ	ᑐᕌ@ᖓ@ᔪ@ᒥᒃ
ᓇᑦᑎᖅ	ᓇᑦᑎᖅ
ᐅᑎᕈᒪᓪᓗᓂ	ᐅᑎ@ᕈᒪ@ᓪᓗᓂ
ᐋᓐᓂᐊᔪᓄᑦ	ᐋᓐᓂ@ᐊ@ᔪ@ᓄᑦ
ᓱᕐᓗ	ᓱᕐᓗ
ᖃᓄᑐᐃᓐᓇᖅ	ᖃᓄ@ᑐᐃᓐᓇᖅ
ᐊᑭᐅᔪᓄᑦ	ᐊᑭ@ᐅ@ᔪ@ᓄᑦ
ᑭᒃᑯᓕᒫᓄᑦ	ᑭᒃᑯ@ᓕᒫ@ᓄᑦ
ᒥᓂᔅᑕᐅᔪᒥᑦ	ᒥᓂᔅᑕ@ᐅ@ᔪ@ᒥᑦ
ᐱᓕᕆᕕᒻᒧᑦ	ᐱ@ᓕᕆ@ᕕᒻ@ᒧᑦ
ᐃᓕᖅᑯᓯᖓᓂᒃ	ᐃᓕᖅᑯᓯ@ᖓᓂᒃ
ᖃᖓᑐᐃᓐᓇᖅ	ᖃᖓ@ᑐᐃᓐᓇᖅ
ᓴᓂᑭᓗᐊᕐᒧᑦ	ᓴᓂᑭᓗᐊᕐ@ᒧᑦ
ᐱᒻᒪᕆᐅᔪᒥᒃ	ᐱ@ᒻᒪᕆ@ᐅ@ᔪ@ᒥᒃ
ᓴᓇᓂᕐᒧᑦ	ᓴᓇ@ᓂᕐ@ᒧᑦ
ᒫᓐᓇᓵᖅ	ᒫᓐᓇ@ᓵᖅ
ᑭᓱᒥᒃ	ᑭᓱ@ᒥᒃ
ᑕᐃᒪᒎᖅ	ᑕᐃᒪ@ᒎᖅ
ᐱᓕᕆᕕᖓᓄᑦ	ᐱ@ᓕᕆ@ᕕ@ᖓᓄᑦ
ᑎᑎᖅᑲᐅᑉ	ᑎᑎ@ᖅᑲ@ᐅ@ᑉ
ᒐᕙᒪᒃᑯᓄᓪᓗ	ᒐᕙᒪ@ᒃᑯ@ᓄᓪ@ᓗ
ᐱᖁᑎᓄᑦ	ᐱ@ᖁᑎ@ᓄᑦ
ᖃᐅᔨᒪᕗᑎᑦ	ᖃᐅᔨᒪ@ᕗᑎᑦ
ᒥᔅᑐ	ᒥᔅᑐ
ᐊᒥᓱᑦ	ᐊᒥᓱᑦ
ᐱᒻᒪᕆᐅᕗᖅ	ᐱ@ᒻᒪᕆ@ᐅ@ᕗᖅ
ᒑᓴᓖᒧᑦ	ᒑᓴᓖ@ᒧᑦ
ᐊᕙᑎᒧᑦ	ᐊᕙᑎ@ᒧᑦ
ᓇᒻᒥᓂᕆᔭᐅᔪᑦ	ᓇᒻᒥᓂ@ᕆ@ᔭ@ᐅ@ᔪᑦ
ᑲᓇᔪᖅ	ᑲᓇᔪᖅ
ᖃᐅᔨᓴᐃᓂᖅ	ᖃᐅᔨ@ᓴ@ᐃ@ᓂᖅ
ᑕᓗᕐᔪᐊᒥ	ᑕᓗ@ᕐᔪᐊ@ᒥ
ᓇᖕᒥᓂᖃᖅᑐᑦ	ᓇᖕᒥᓂ@ᖃᖅ@ᑐᑦ
ᑐᑭᖃᖅᐳᖅ	ᑐᑭ@ᖃᖅ@ᐳᖅ
ᐃᕐᓂᕋ	ᐃᕐᓂ@ᕋ
ᓄᓇᓄᑦ	ᓄᓇ@ᓄᑦ
ᑲᓇᑕᐅᓪᓗ	ᑲᓇᑕ@ᐅᓪ@ᓗ
ᓯᕿᙳᔭᐅᑉ	ᓯᕿ@ᙳ@ᔭ@ᐅ@ᑉ
ᖃᓄᑭᐊᖅ	ᖃᓄ@ᑭᐊᖅ
ᐃᓕᖅᑯᓯᕐᒧᑦ	ᐃᓕᖅᑯᓯᕐ@ᒧᑦ
ᖁᕕᐊᓱᒃᑐᑦ	ᖁᕕᐊ@ᓱᒃ@ᑐᑦ
ᑕᐃᒃᓱᒪᓂ	ᑕᐃᒃᓱ@ᒪᓂ
ᐄᐳᕈ	ᐄᐳᕈ
ᐃᓚᐅᔪᑦ	ᐃᓚ@ᐅ@ᔪᑦ
ᑲᒥᓴᓇᒧᑦ	ᑲᒥᓴᓇ@ᒧᑦ
ᓯᕕᑐᔪᒧᑦ	ᓯᕕ@ᑐ@ᔪ@ᒧᑦ
ᒪᑯᓄᖓ	ᒪᑯ@ᓄᖓ
ᐱᕙᓪᓕᐊᔪᓕᕆᓂᕐᒧᑦ	ᐱ@ᕙᓪᓕᐊ@ᔪ@ᓕᕆ@ᓂᕐ@ᒧᑦ
ᓄᖅᑲᖔᓚᐅᑲᓚᐅᖅᐳᖅ	ᓄᖅᑲ@ᖔ@ᓚᐅᑲ@ᓚᐅᖅ@ᐳᖅ
ᒥᔅᓴ	ᒥᔅᓴ
ᕿᒥᕐᕈᓂᖅ	ᕿᒥᕐᕈ@ᓂᖅ
ᒥᔅ	ᒥᔅ
ᐅᑭᐊᔅᓵᖅ	ᐅᑭᐊᔅᓵᖅ
ᒪᑐᐃᖅᐸᓪᓕᐊᓂᕐᒧᑦ	ᒪᑐ@ᐃᖅ@ᐸᓪᓕᐊ@ᓂᕐ@ᒧᑦ
ᐃᖅᑲᖅᑐᐃᔨᓄᑦ	ᐃᖅᑲᖅ@ᑐ@ᐃ@ᔨ@ᓄᑦ
ᑲᔪᓯᓗᖓ	ᑲᔪᓯ@ᓗᖓ
ᑖᓚᔅ	ᑖᓚᔅ
ᑕᐃᒫᖃᐃ	ᑕᐃᒫ@ᖃᐃ
ᓂᕆᐅᑉᐳᒍᑦ	ᓂᕆᐅᑉ@ᐳᒍᑦ
ᓂᕆᐅᒋᔭᐅᔪᑦ	ᓂᕆᐅ@ᒋ@ᔭ@ᐅ@ᔪᑦ
ᑐᕌᖅᑐᑦ	ᑐᕌᖅ@ᑐᑦ
ᑐᑭᖃᕐᒪᖔᖅ	ᑐᑭ@ᖃᕐ@ᒪᖔᖅ
ᖃᐅᔨᒪᔪᒍᑦ	ᖃᐅᔨᒪ@ᔪᒍᑦ
ᔭᐃᒻᔅ	ᔭᐃᒻᔅ
ᐱᔪᓐᓇᖅᑐᑦ	ᐱ@ᔪᓐᓇᖅ@ᑐᑦ
ᓄᑕᕋᖅ	ᓄᑕᕋᖅ
ᐱᒻᒪᕆᐅᓂᖓᓂᒃ	ᐱ@ᒻᒪᕆ@ᐅ@ᓂ@ᖓᓂᒃ
ᐊᓯᐊᓂᒃ	ᐊᓯ@ᐊᓂᒃ
ᐱᔾᔪᑕᐅᔪᑦ	ᐱ@ᔾᔪᑕ@ᐅ@ᔪᑦ
ᐊᐱᕆᓚᐅᕋᒃᑯ	ᐊᐱᕆ@ᓚᐅ@ᕋᒃᑯ
ᑭᓇᑐᐃᓐᓇᖅ	ᑭᓇ@ᑐᐃᓐᓇᖅ
ᐃᓕᒃᓯᓐᓂᒃ	ᐃᓕ@ᒃᓯᓐᓂᒃ
ᐱᒋᐊᖅᑎᑕᒧᑦ	ᐱ@ᒋᐊᖅ@ᑎ@ᑕ@ᒧᑦ
ᒫᓐᓇᒧᑦ	ᒫᓐᓇ@ᒧᑦ
ᑕᒪᒃᑯᓇᙵᑦ	ᑕᒪᒃᑯ@ᓇᙵᑦ
ᕿᒥᕐᕈᔪᒍᑦ	ᕿᒥᕐᕈ@ᔪᒍᑦ
ᒪᑉᐱᒐᕐᒧᑦ	ᒪᑉᐱ@ᒐᕐ@ᒧᑦ
ᐊᐃᐳᕈ	ᐊᐃᐳᕈ
ᐃᓱᒪᒧᑦ	ᐃᓱᒪ@ᒧᑦ
ᖃᐅᔨᓴᕐᓂᕐᒥᑦ	ᖃᐅᔨ@ᓴᕐ@ᓂᕐ@ᒥᑦ
ᑕᒪᕐᒥ	ᑕᒪᕐᒥ
ᑕᑉᐸᐅᖓ	ᑕᑉᐸ@ᐅᖓ
ᐃᖏᕐᕋᔪᓕᕆᔨᒃᑯᓐᓂᑦ	ᐃᖏᕐᕋ@ᔪ@ᓕᕆ@ᔨ@ᒃᑯᓐ@ᓂᑦ
ᐱᓕᕆᓂᕐᒧᑦ	ᐱ@ᓕᕆ@ᓂᕐ@ᒧᑦ
ᐊᒃᓱᓪᓛᓗᒃ	ᐊᒃᓱ@ᓪᓛᓗᒃ
ᑭᐅᔪᒪᕕᐅᒃ	ᑭᐅ@ᔪᒪ@ᕕᐅᒃ
ᐃᓗᐊᒍᑦ	ᐃᓗ@ᐊᒍᑦ
ᐅᐊ	ᐅᐊ
ᒑᓴᓖᒥᑦ	ᒑᓴᓖ@ᒥᑦ
ᕿᒥᕐᕈᓂᕐᒥᑦ	ᕿᒥᕐᕈ@ᓂᕐ@ᒥᑦ
ᐊᕙᑎᓂᒃ	ᐊᕙᑎ@ᓂᒃ
ᐋᓐᓂᐊᔪᓂᑦ	ᐋᓐᓂ@ᐊ@ᔪ@ᓂᑦ
ᐅᑭᐅᖅ	ᐅᑭᐅᖅ
ᐊᖃᒍ	ᐊᖃᒍ
ᐸᕐᓇᐃᓂᕐᒧᑦ	ᐸᕐᓇ@ᐃ@ᓂᕐ@ᒧᑦ
ᑲᒪᔨ	ᑲᒪ@ᔨ
ᓯᕗᓂᒃᓴᒧᑦ	ᓯᕗᓂ@ᒃᓴ@ᒧᑦ
ᖃᓂᒋᔭᖓᓂ	ᖃᓂ@ᒋ@ᔭ@ᖓ@ᓂ
ᓯᐅᕋ	ᓯᐅᕋ
ᐊᕐᕌᒍᒧᑦ	ᐊᕐᕌᒍ@ᒧᑦ
ᓴᓂᑭᓗᐊᕐᒥᑦ	ᓴᓂᑭᓗᐊᕐ@ᒥᑦ
ᐱᒻᒪᕆᐅᓂᖓᓄᑦ	ᐱ@ᒻᒪᕆ@ᐅ@ᓂ@ᖓᓄᑦ
ᑭᕙᓪᓕᖅ	ᑭᕙᓪᓕᖅ
ᒐᕙᒪᓕᕆᓂᕐᒧᑦ	ᒐᕙᒪ@ᓕᕆ@ᓂᕐ@ᒧᑦ
ᓇᓄᓕᕆᓂᕐᒧᑦ	ᓇᓄ@ᓕᕆ@ᓂᕐ@ᒧᑦ
ᐊᕐᕌᓂᓂᑦ	ᐊᕐᕌᓂ@ᓂᑦ
ᖃᒪᓂᑦᑐᐊᒥᑦ	ᖃᒪᓂᑦᑐᐊ@ᒥᑦ
ᓄᖅᑲᓂᕐᒧᑦ	ᓄᖅᑲ@ᓂᕐ@ᒧᑦ
ᐱᓕᕆᑎᓪᓗᒋᑦ	ᐱ@ᓕᕆ@ᑎᓪᓗᒋᑦ
ᐅᖃᓕᒫᖅᑕᐅᕗᖅ	ᐅᖃ@ᓕᒫᖅ@ᑕ@ᐅ@ᕗᖅ
ᐳᕌᓐᑕᓐ	ᐳᕌᓐᑕᓐ
ᐱᓕᕆᕝᕕᒃ	ᐱ@ᓕᕆ@ᕝᕕᒃ
ᐃᓚᖓᓂᑦ	ᐃᓚ@ᖓᓂᑦ
ᑲᒥᓴᓇ	ᑲᒥᓴᓇ
ᐊᕐᕌᒍᓕᒫᒧᑦ	ᐊᕐᕌᒍ@ᓕᒫ@ᒧᑦ
ᖃᓄᓪᓚᕆᒃ	ᖃᓄ@ᓪᓚᕆᒃ
ᐊᖏᖅᑕᐅᑉᐸᑦ	ᐊᖏᖅ@ᑕ@ᐅ@ᑉᐸᑦ
ᐊᑭᐊᓄᑦ	ᐊᑭ@ᐊᓄᑦ
ᓴᓇᔭᐅᓂᖓᓄᑦ	ᓴᓇ@ᔭ@ᐅ@ᓂ@ᖓᓄᑦ
ᑕᐃᑉᑯᐊ	ᑕᐃᑉᑯᐊ
ᓄᓇᑖᖅᐸᓪᓕᐊᔪᓕᕆᓂᕐᒧᑦ	ᓄᓇ@ᑖᖅ@ᐸᓪᓕᐊ@ᔪ@ᓕᕆ@ᓂᕐ@ᒧᑦ
ᐃᒡᓗᕐᔪᐊᖅ	ᐃᒡᓗ@ᕐᔪᐊᖅ
ᓂᐅᕕᕐᓂᖅ	ᓂᐅᕕᕐ@ᓂᖅ
ᓂᕆᐅᒃᐳᑦ	ᓂᕆᐅᒃ@ᐳᑦ
ᐃᓱᒪᒥᒍᑦ	ᐃᓱᒪ@ᒥᒍᑦ
ᑕᐃᒪᐃᒻᒪ	ᑕᐃᒪᐃᒻ@ᒪ
ᑕᓪᓕᒪᐅᔪᑦ	ᑕᓪᓕᒪ@ᐅ@ᔪᑦ
ᑲᒪᒋᔭᐅᒻᒪᑕ	ᑲᒪ@ᒋ@ᔭ@ᐅ@ᒻᒪᑕ
ᐱᒻᒪᕆᐅᔪᓂᑦ	ᐱ@ᒻᒪᕆ@ᐅ@ᔪ@ᓂᑦ
ᐊᕐᕌᒍᓄ	ᐊᕐᕌᒍ@ᓄ
ᐃᓚᖃᖅᑐᑦ	ᐃᓚ@ᖃᖅ@ᑐᑦ
ᐱᒻᒪᕆᐅᔪᑦ	ᐱ@ᒻᒪᕆ@ᐅ@ᔪᑦ
ᐅᖃᕋᕕᑦ	ᐅᖃ@ᕋᕕᑦ
ᒐᕙᒪᑐᖃᒃᑯᓐᓂᒃ	ᒐᕙᒪ@ᑐᖃ@ᒃᑯᓐ@ᓂᒃ
ᐊᑭᖓᓂᒃ	ᐊᑭ@ᖓᓂᒃ
ᐅᕙᑦᑎᓐᓄ	ᐅᕙ@ᑦᑎᓐᓄ
ᒥᓕᐊᓐ	ᒥᓕᐊᓐ
ᑖᒃᑯᓄᖓᓗ	ᑖᒃᑯ@ᓄᖓ@ᓗ
ᑕᒪᔅᓱᒧᖓ	ᑕᒪᔅᓱ@ᒧᖓ
ᒥᓂᔅᑕᐅᔪᒧᑦ	ᒥᓂᔅᑕ@ᐅ@ᔪ@ᒧᑦ
ᑕᒪᓐᓇᒎᖅ	ᑕᒪᓐᓇ@ᒎᖅ
ᐋᑐᕚᒧᑦ	ᐋᑐᕚ@ᒧᑦ
ᐱᕙᓪᓕᐊᔪᓕᕆᔨᒃᑯᓐᓂᑦ	ᐱ@ᕙᓪᓕᐊ@ᔪ@ᓕᕆ@ᔨ@ᒃᑯᓐ@ᓂᑦ
ᒥᑦᑎᒪᑕᓕᒃ	ᒥᑦᑎᒪᑕᓕᒃ
ᐃᓄ	ᐃᓄ
ᒐᕙᒪᖓᑦ	ᒐᕙᒪ@ᖓᑦ
ᐱᕙᓪᓕᐊᔪᓕᕆᔨᒃᑯᓐᓄᑦ	ᐱ@ᕙᓪᓕᐊ@ᔪ@ᓕᕆ@ᔨ@ᒃᑯᓐ@ᓄᑦ
ᓈᒻᒪᖕᒪᑦ	ᓈᒻᒪᖕ@ᒪᑦ
ᐃᓪᓗᒧᑦ	ᐃᓪᓗ@ᒧᑦ
ᓇᒧᑦ	ᓇᒧᑦ
ᐃᓄᓕᕆᓂᖅ	ᐃᓄ@ᓕᕆ@ᓂᖅ
ᖃᒪᓂᑦᑐᐊᒧᑦ	ᖃᒪᓂᑦᑐᐊ@ᒧᑦ
ᐅᑉᓗᒥ	ᐅᑉᓗᒥ
ᓇᒻᒥᓂᖃᖅᑐᑦ	ᓇᒻᒥᓂ@ᖃᖅ@ᑐᑦ
ᑐᕌᖓᒻᒪᑕ	ᑐᕌ@ᖓ@ᒻᒪᑕ
ᓯᓚᑦᑐᖅᓴᕐᕕᒻᒧᑦ	ᓯᓚ@ᑦᑐᖅ@ᓴᕐ@ᕕᒻ@ᒧᑦ
ᐊᖓᔪᖅᑳᑉ	ᐊᖓᔪᖅᑳ@ᑉ
ᒫᓐᓇᕈᓗᒃ	ᒫᓐᓇ@ᕈᓗᒃ
ᒪᒃᑯᒃᑐᑦ	ᒪᒃᑯᒃ@ᑐᑦ
ᑕᒻᓴᓐ	ᑕᒻᓴᓐ
ᓯᓚᑦᑐᓴᕐᕕᒃ	ᓯᓚ@ᑦᑐ@ᓴᕐ@ᕕᒃ
ᐊᑐᖅᑕᐅᕙᒃᑐᑦ	ᐊᑐᖅ@ᑕ@ᐅ@ᕙᒃ@ᑐᑦ
ᒪᕐᕈᐃᓂᒃ	ᒪᕐᕈ@ᐃᓂᒃ
ᓯᓚᒧᑦ	ᓯᓚ@ᒧᑦ
ᑯᐃᓐ	ᑯᐃᓐ
ᑐᕌᖓᒻᒪᑦ	ᑐᕌ@ᖓ@ᒻᒪᑦ
ᐅᖃᕈᒪ	ᐅᖃ@ᕈᒪ
ᒪᒥᓴᕐᓂᕐᒧᑦ	ᒪᒥ@ᓴᕐ@ᓂᕐ@ᒧᑦ
ᐅᖃᓚᐅᕐᒪᑕ	ᐅᖃ@ᓚᐅᕐ@ᒪᑕ
ᐱᓕᕆᕝᕕᖓᑦ	ᐱ@ᓕᕆ@ᕝᕕ@ᖓᑦ
ᐱᒻᒪᕆᐅᔪᓂᒃ	ᐱ@ᒻᒪᕆ@ᐅ@ᔪ@ᓂᒃ
ᐃᓕᖅᑯᓯᓕᕆᓂᕐᒧᑦ	ᐃᓕᖅᑯᓯ@ᓕᕆ@ᓂᕐ@ᒧᑦ
ᓄᓇᓂᒃ	ᓄᓇ@ᓂᒃ
ᐃᓕᖅᑯᓯᖓᑦ	ᐃᓕᖅᑯᓯ@ᖓᑦ
ᑕᒪᑐᒧᖓᓕ	ᑕᒪᑐ@ᒧᖓ@ᓕ
ᐊᕐᕌᒍᐊ	ᐊᕐᕌᒍ@ᐊ
ᒥᓂᔅᑕᖃᐃ	ᒥᓂᔅᑕ@ᖃᐃ
ᒥᓂᔅᑕᐅᔪᓂᑦ	ᒥᓂᔅᑕ@ᐅ@ᔪ@ᓂᑦ
ᓇᑲᓱᒃ	ᓇᑲᓱᒃ
ᑕᒪᑐᒪᙵᑦ	ᑕᒪᑐ@ᒪᙵᑦ
ᐅᐱᒍᓱᒍᒪᓪᓗᖓ	ᐅᐱ@ᒍᓱ@ᒍᒪ@ᓪᓗᖓ
ᐃᓱᒪᓕᕆᓂᖅ	ᐃᓱᒪ@ᓕᕆ@ᓂᖅ
ᓯᕗᓪᓕᕐᒥᑦ	ᓯᕗ@ᓪᓕᕐ@ᒥᑦ
ᓄᑕᕋᒃ	ᓄ@ᑕ@ᕋᒃ
ᐅᓇᖃᐃ	ᐅᓇ@ᖃᐃ
ᓯᓚᕐᔪᐊᒧᑦ	ᓯᓚ@ᕐᔪᐊ@ᒧᑦ
ᓄᓇᕗᒻᒥᑦ	ᓄᓇᕗᒻ@ᒥᑦ
ᐊᕐᕌᒍᑕᒫᑦ	ᐊᕐᕌᒍ@ᑕᒫᑦ
ᐊᕐᕌᒍᓄᑦ	ᐊᕐᕌᒍ@ᓄᑦ
ᑭᒃᑯᑦ	ᑭᒃᑯᑦ
ᒫᑦᓯ	ᒫᑦᓯ
ᓯᓚ	ᓯᓚ
ᐱᑯ	ᐱᑯ
ᑐᕌᖓᔪᓂᒃ	ᑐᕌ@ᖓ@ᔪ@ᓂᒃ
ᓇᒻᒥᓂᕐᓕ	ᓇᒻᒥᓂᕐ@ᓕ
ᐅᓪᓗᕆᐊᖅ	ᐅᓪᓗᕆᐊᖅ
ᐃᑲᔪᖃᑦᑕᖅᑐᑦ	ᐃᑲᔪ@ᖃᑦᑕᖅ@ᑐᑦ
ᒥᐊᕆ	ᒥ@ᐊ@ᕆ
ᐊᕙᑎᓄᑦ	ᐊᕙᑎ@ᓄᑦ
ᒪᒃᐱᖅᑐᕋᖓ	ᒪᒃᐱᖅ@ᑐ@ᕋᖓ
ᑕᒪᐅᖓ	ᑕᒪ@ᐅᖓ
