ᐱᓕᕆᕕᐊᓄᑦ	ᐱ@ᓕᕆ@ᕕ@ᐊᓄᑦ
ᐃᓚᒋᔭᐅᓪᓗᓂ	ᐃᓚ@ᒋ@ᔭ@ᐅ@ᓪᓗᓂ
ᐃᖅᑭᑦᑑᖅ	ᐃᖅᑭᑦ@ᑑᖅ
ᐱᒋᐊᖅᑎᑕᐅᔪᖃᕐᒪᑦ	ᐱ@ᒋᐊᖅ@ᑎ@ᑕ@ᐅ@ᔪ@ᖃᕐ@ᒪᑦ
ᒐᕙᒪᓕᕆᔨᓄᑦ	ᒐᕙᒪ@ᓕᕆ@ᔨ@ᓄᑦ
ᖃᓄᐃᔅᓴᖏᒃᑯᕕᑦ	ᖃᓄᐃ@ᔅᓴ@ᖏᒃ@ᑯᕕᑦ
ᑭᕙᓪᓕᕐᒥᑦ	ᑭᕙᓪᓕᕐ@ᒥᑦ
ᐃᓚᒋᐊᕈᑎᒃ	ᐃᓚ@ᒋᐊ@ᕈᑎᒃ
ᓴᓇᔭᐅᔪᑦ	ᓴᓇ@ᔭ@ᐅ@ᔪᑦ
ᖃᓄᕐᓗ	ᖃᓄᕐ@ᓗ
ᑕᖅᑭᑕᒫᑦ	ᑕᖅᑭ@ᑕᒫᑦ
ᑭᒃᑯᓐᓂᒃ	ᑭᒃᑯᓐ@ᓂᒃ
ᑲᒪᔨᐅᓪᓗᓂ	ᑲᒪ@ᔨ@ᐅ@ᓪᓗᓂ
ᐱᓕᕆᔨᐅᔪᑦ	ᐱ@ᓕᕆ@ᔨ@ᐅ@ᔪᑦ
ᐊᑖᑕᒐ	ᐊᑖᑕ@ᒐ
ᐃᓕᖕᓄᑦ	ᐃᓕ@ᖕᓄᑦ
ᐱᖓᔪᐊᓐᓄᑦ	ᐱᖓᔪᐊᓐ@ᓄᑦ
ᒪᓕᒃᑐᑦ	ᒪᓕᒃ@ᑐᑦ
ᑖᒃᑯᐊᒎᖅ	ᑖᒃᑯᐊ@ᒎᖅ
ᐅᓪᓗᖅ	ᐅᓪᓗᖅ
ᑕᐃᔭᐅᔪᒥᒃ	ᑕᐃ@ᔭ@ᐅ@ᔪ@ᒥᒃ
ᒐᕙᒪᖓᓂᒃ	ᒐᕙᒪ@ᖓᓂᒃ
ᑐᕌᖓᔪᓄᑦ	ᑐᕌ@ᖓ@ᔪ@ᓄᑦ
ᐱᓕᕆᕕᒋᔭᕋ	ᐱ@ᓕᕆ@ᕕ@ᒋ@ᔭ@ᕋ
ᐃᓚᒋᔭᐅᔪᒧᑦ	ᐃᓚ@ᒋ@ᔭ@ᐅ@ᔪ@ᒧᑦ
ᑕᒪᒃᑯᓂᖓᓗ	ᑕᒪᒃᑯ@ᓂᖓ@ᓗ
ᑖᓚ	ᑖᓚ
ᒪᒥᓴᕐᕕᒃ	ᒪᒥ@ᓴᕐ@ᕕᒃ
ᒐᕙᒪᐅᔪᓂᒃ	ᒐᕙᒪ@ᐅ@ᔪ@ᓂᒃ
ᓴᓂᑭᓗᐊᖅ	ᓴᓂᑭᓗᐊᖅ
ᓄᓇᓂᑦ	ᓄᓇ@ᓂᑦ
ᓯᓚᑦᑐᓴᕐᕕᒻᒥᑦ	ᓯᓚ@ᑦᑐ@ᓴᕐ@ᕕᒻ@ᒥᑦ
ᒪᑐᒥᖓ	ᒪᑐ@ᒥᖓ
ᓇᑦᓯᖅ	ᓇᑦᓯᖅ
ᑕᐃᒃᓱᒥᖓ	ᑕᐃᒃᓱ@ᒥᖓ
ᓂᕿᓂᑦ	ᓂᕿ@ᓂᑦ
ᐊᖓᔪᖅᑳᖅ	ᐊᖓᔪᖅᑳᖅ
ᑲᑎᑦᑐᑦ	ᑲᑎᑦ@ᑐᑦ
ᒥᓂᔅᑕᒥᑦ	ᒥᓂᔅᑕ@ᒥᑦ
ᐅᕕᒃᑲᐅᔪᓄᑦ	ᐅᕕ@ᒃᑲ@ᐅ@ᔪ@ᓄᑦ
ᖃᐅᔨᒪᖕᒪᑦ	ᖃᐅᔨᒪ@ᖕᒪᑦ
ᐱᓕᕆᖃᑦᑕᕐᒪᑕ	ᐱ@ᓕᕆ@ᖃᑦᑕᕐ@ᒪᑕ
ᐃᖅᑲᓇᐃᔮᔅᓴᖅ	ᐃᖅᑲᓇᐃᔮ@ᔅᓴᖅ
ᑕᓪᓕᒪᓄ	ᑕᓪᓕᒪ@ᓄ
ᐊᖑᑦ	ᐊᖑᑦ
ᐃᑲᔪᖅᓱᕐᓂᖅ	ᐃᑲᔪᖅ@ᓱᕐ@ᓂᖅ
ᐊᕐᕕᐊᒧᑦ	ᐊᕐᕕᐊ@ᒧᑦ
ᐊᖏᔪᓄᑦ	ᐊᖏ@ᔪ@ᓄᑦ
ᑕᒪᔅᓱᒪ	ᑕᒪᔅᓱ@ᒪ
ᐊᖓᔪᖅᑳᖓᓂᒃ	ᐊᖓᔪᖅᑳ@ᖓᓂᒃ
ᑕᒪᔾᔭ	ᑕᒪᔾᔭ
ᑐᓵᔪᑦ	ᑐᓵ@ᔪᑦ
ᑲᔪᓯᒋᐊᕐᓗᑕ	ᑲᔪᓯ@ᒋᐊᕐ@ᓗᑕ
ᓇᓄᖅ	ᓇᓄᖅ
ᐱᓕᕆᔨᓄᑦ	ᐱ@ᓕᕆ@ᔨ@ᓄᑦ
ᕿᓚᓈᖅᐳᑦ	ᕿᓚᓈᖅ@ᐳᑦ
ᑕᒪᒃᑯᓄᖓᓗ	ᑕᒪᒃᑯ@ᓄᖓ@ᓗ
ᐅᕙᖓᑦᑕᐅᖅ	ᐅᕙᖓ@ᑦᑕᐅᖅ
ᑎᑭᕋᕐᔪᐊᒧᓪᓗ	ᑎᑭᕋᕐᔪᐊ@ᒧᓪ@ᓗ
ᓯᕗᒧᑦ	ᓯᕗ@ᒧᑦ
ᒪᒃᐱᖅᑐᕋᖓᓂ	ᒪᒃᐱᖅ@ᑐ@ᕋ@ᖓ@ᓂ
ᐃᒥᕐᒧᑦ	ᐃᒥᕐ@ᒧᑦ
ᑲᓇᑕᒧᑦ	ᑲᓇᑕ@ᒧᑦ
ᐱᓕᕆᔪᑦ	ᐱ@ᓕᕆ@ᔪᑦ
ᐃᓚᒋᔭᐅᔪᓂᒃ	ᐃᓚ@ᒋ@ᔭ@ᐅ@ᔪ@ᓂᒃ
ᐅᑭᐅᓂᒃ	ᐅᑭᐅ@ᓂᒃ
ᓱᓇᒥᑦ	ᓱᓇ@ᒥᑦ
ᐃᓚᒋᓪᓗᓂᐅᒃ	ᐃᓚ@ᒋ@ᓪᓗᓂᐅᒃ
ᐱᖃᓯᐅᑎᓪᓗᒋᑦ	ᐱ@ᖃ@ᓯ@ᐅ@ᑎᓪᓗᒋᑦ
ᐱᔾᔪᑕᐅᓪᓗᓂ	ᐱ@ᔾᔪᑕ@ᐅ@ᓪᓗᓂ
ᐸᕐᓇᓂᕐᒧᑦ	ᐸᕐᓇ@ᓂᕐ@ᒧᑦ
ᐱᕈᖅᐸᓪᓕᐊᔪᓕᕆᓂᕐᒧᑦ	ᐱᕈᖅ@ᐸᓪᓕᐊ@ᔪ@ᓕᕆ@ᓂᕐ@ᒧᑦ
ᐊᕐᕌᒍᑕᒫᓐ	ᐊᕐᕌᒍ@ᑕᒫᓐ
ᒐᕙᒪᐅᔪᓄᑦ	ᒐᕙᒪ@ᐅ@ᔪ@ᓄᑦ
ᐊᕐᕌᒍᒥᑦ	ᐊᕐᕌᒍ@ᒥᑦ
ᒐᕙᒪᒃᑯᓐᓄ	ᒐᕙᒪ@ᒃᑯᓐ@ᓄ
ᐊᖏᕐᓂᖅ	ᐊᖏᕐ@ᓂᖅ
ᐸᕐᓇᐅᑎᒃ	ᐸᕐᓇ@ᐅᑎᒃ
ᐱᕙᓪᓕᐊᔪᓕᕆᓂᕐᒧᓪᓗ	ᐱ@ᕙᓪᓕᐊ@ᔪ@ᓕᕆ@ᓂᕐ@ᒧᓪ@ᓗ
ᐱᕙᓪᓕᐊᔪᓂᑦ	ᐱ@ᕙᓪᓕᐊ@ᔪ@ᓂᑦ
ᒥᕝᕕᒃ	ᒥᕝ@ᕕᒃ
ᓄᖅᑲᖔᓚᐅᑲᓚᐅᖅᐳᑦ	ᓄᖅᑲ@ᖔ@ᓚᐅᑲ@ᓚᐅᖅ@ᐳᑦ
ᓯᕗᓪᓕᖅᐹᖓᓂᒃ	ᓯᕗ@ᓪᓕᖅ@ᐹ@ᖓᓂᒃ
ᐊᐱᕆᖅᑲᐅᒻᒪᑦ	ᐊᐱᕆ@ᖅᑲᐅ@ᒻᒪᑦ
ᑐᓂᔭᐅᔪᑦ	ᑐᓂ@ᔭ@ᐅ@ᔪᑦ
ᑕᒪᑐᒪᓂ	ᑕᒪᑐ@ᒪᓂ
ᑲᒪᖃᑦᑕᖅᑐᑦ	ᑲᒪ@ᖃᑦᑕᖅ@ᑐᑦ
ᖁᐊᓇᖅ	ᖁ@ᐊ@ᓇᖅ
ᐃᓕᔅᓯᓐᓂᒃ	ᐃᓕ@ᔅᓯᓐᓂᒃ
ᐱᖁᔭᖅ	ᐱ@ᖁ@ᔭᖅ
ᑕᓗᕐᔪᐊᓂ	ᑕᓗ@ᕐᔪᐊ@ᓂ
ᐱᓕᕆᕝᕕᒻᒧᑦ	ᐱ@ᓕᕆ@ᕝᕕᒻ@ᒧᑦ
ᖃᓄᓕᒫᖅ	ᖃᓄ@ᓕᒫᖅ
ᓄᓇᒥᑦ	ᓄᓇ@ᒥᑦ
ᐆᒧᖓ	ᐆ@ᒧᖓ
ᐱᓕᕆᕕᐊ	ᐱ@ᓕᕆ@ᕕ@ᐊ
ᓈᒻᒪᓯᑉᐸᑦ	ᓈᒻᒪ@ᓯ@ᑉᐸᑦ
ᑐᕌᖓᓪᓗᓂ	ᑐᕌ@ᖓ@ᓪᓗᓂ
ᐃᓗᐊᓄᑦ	ᐃᓗ@ᐊᓄᑦ
ᒥᓕᐊᓂ	ᒥᓕ@ᐊ@ᓂ
ᔫᑳᓐ	ᔫᑳᓐ
ᐱᒻᒪᕆᐅᖕᒪᑕ	ᐱ@ᒻᒪᕆ@ᐅ@ᖕᒪᑕ
ᐃᓕᔅᓯᓐᓄᑦ	ᐃᓕ@ᔅᓯᓐᓄᑦ
ᐅᓐᓄᒃ	ᐅᓐᓄᒃ
ᐊᒻᒪ	ᐊᒻᒪ
ᐊᖅᑯᑦ	ᐊᖅᑯᑦ
ᐅᐱᕐᖔᖅ	ᐅᐱᕐᖔᖅ
ᐊᑯᓂᒧᑦ	ᐊᑯᓂ@ᒧᑦ
ᐋᓐᓂᐊᔪᓂᒃ	ᐋᓐᓂ@ᐊ@ᔪ@ᓂᒃ
ᓯᑕᒪᑦ	ᓯᑕᒪᑦ
ᐃᒪᓐᓇ	ᐃᒪᓐᓇ
ᒫᔅᓯ	ᒫᔅᓯ
ᐃᒡᓗᒥᑦ	ᐃᒡᓗ@ᒥᑦ
ᓇᔭᒐ	ᓇᔭ@ᒐ
ᐊᖏᖅᐱᑖ	ᐊᖏᖅ@ᐱᑖ
ᖃᐅᔨᓴᕈᑕᐅᔪᑦ	ᖃᐅᔨ@ᓴ@ᕈᑕ@ᐅ@ᔪᑦ
ᐊᒥᓱᓄᑦ	ᐊᒥᓱ@ᓄᑦ
ᖃᐅᔨᒪᕗᒍᑦ	ᖃᐅᔨᒪ@ᕗᒍᑦ
ᐊᖓᔪᖅᑳᒧᑦ	ᐊᖓᔪᖅᑳ@ᒧᑦ
ᐱᓕᕆᖃᑎᒌᓐᓂᖅ	ᐱ@ᓕᕆ@ᖃᑎ@ᒌᓐ@ᓂᖅ
ᑲᓇᑕᓕᒫᒧᑦ	ᑲᓇᑕ@ᓕᒫ@ᒧᑦ
ᐃᖅᑲᖅᑐᐃᔨ	ᐃᖅᑲᖅ@ᑐ@ᐃ@ᔨ
ᐹᑉ	ᐹ@ᑉ
ᑕᐃᒃᑯᐊ	ᑕᐃᒃᑯᐊ
ᑰᓕ	ᑰ@ᓕ
ᕿᒥᕐᕈᔭᐅᓂᖓᓄᑦ	ᕿᒥᕐᕈ@ᔭ@ᐅ@ᓂ@ᖓᓄᑦ
ᐊᖓᔪᖅᑳᕐᒧᑦ	ᐊᖓᔪᖅᑳᕐ@ᒧᑦ
ᑕᒪᑦᓱᒧᖓ	ᑕᒪᑦᓱ@ᒧᖓ
ᐅᔾᔨᕈᓱᒃᑐᑦ	ᐅᔾᔨ@ᕈᓱᒃ@ᑐᑦ
ᐊᖏᖅᐳᒍᑦ	ᐊᖏᖅ@ᐳᒍᑦ
ᑕᒪᒃᑯᐊᓕ	ᑕᒪᒃᑯᐊ@ᓕ
ᐱᕙᓪᓕᐊᓂᖓᓄᑦ	ᐱ@ᕙᓪᓕᐊ@ᓂ@ᖓᓄᑦ
ᑭᓇᑭᐊᖅ	ᑭᓇ@ᑭᐊᖅ
ᐱᓕᕆᖃᑎᒋᓗᒋᑦ	ᐱ@ᓕᕆ@ᖃᑎ@ᒋ@ᓗ@ᒋᑦ
ᐃᓪᓗ	ᐃᓪᓗ
ᐊᒡᒍᒧᑦ	ᐊᒡᒍ@ᒧᑦ
ᐊᕐᕌᒍᓂᒃ	ᐊᕐᕌᒍ@ᓂᒃ
ᐊᐱᕆᓚᐅᕋᒪ	ᐊᐱᕆ@ᓚᐅ@ᕋᒪ
ᐱᖓᓐᓇᖓᓄᑦ	ᐱ@ᖓ@ᓐᓇ@ᖓᓄᑦ
ᒪᑦᓇ	ᒪᑦᓇ
ᑎᑭᕋᕐᔪᐊᕐᒧᑦ	ᑎᑭᕋᕐᔪᐊᕐ@ᒧᑦ
ᓄᓇᕐᔪᐊᑉ	ᓄᓇ@ᕐᔪᐊ@ᑉ
ᐅᖃᖅᑲᐅᖕᒪᑦ	ᐅᖃ@ᖅᑲᐅ@ᖕᒪᑦ
ᓄᓇᕗᒻᒧᑦ	ᓄᓇᕗᒻ@ᒧᑦ
ᓯᕗᓪᓕᖅᐹᖓᓂᑦ	ᓯᕗ@ᓪᓕᖅ@ᐹ@ᖓᓂᑦ
ᐅᓂᒃᑳᓕᐊᒥᒃ	ᐅᓂᒃᑳ@ᓕᐊ@ᒥᒃ
ᐱᓕᕆᓂᖅ	ᐱ@ᓕᕆ@ᓂᖅ
ᐊᑐᖅᑕᐅᔪᓐᓇᖅᑐᑦ	ᐊᑐᖅ@ᑕ@ᐅ@ᔪᓐᓇᖅ@ᑐᑦ
ᖃᓄᕐᓕᑭᐊᖅ	ᖃᓄᕐ@ᓕ@ᑭᐊᖅ
ᒪᒃᐱᒐᖅ	ᒪᒃᐱ@ᒐᖅ
ᐊᓪᓛᑦ	ᐊᓪᓛᑦ
ᐊᐃᑉᐸᖓᓂᑦ	ᐊᐃᑉᐸ@ᖓᓂᑦ
ᐅᔾᔨᕈᓱᒃᐳᑦ	ᐅᔾᔨ@ᕈᓱᒃ@ᐳᑦ
ᑖᒻᓴᓐ	ᑖᒻᓴᓐ
ᑲᒪᒋᔭᖃᕐᒪᑕ	ᑲᒪ@ᒋ@ᔭ@ᖃᕐ@ᒪᑕ
ᖃᓄᖅᓕ	ᖃᓄᖅ@ᓕ
ᑖᑉᑯᐊ	ᑖᑉᑯᐊ
ᓇᑭᑦ	ᓇᑭᑦ
ᒥᓂᔅᑕᒧ	ᒥᓂᔅᑕ@ᒧ
ᐊᓯᐊᓄ	ᐊᓯ@ᐊᓄ
ᐊᖏᖅᑕᐅᔪᒪᕗᖅ	ᐊᖏᖅ@ᑕ@ᐅ@ᔪᒪ@ᕗᖅ
ᐊᐱᖅᓱᕐᒪᑦ	ᐊᐱᖅ@ᓱᕐ@ᒪᑦ
ᑭᐅᕙᓐ	ᑭᐅ@ᕙᓐ
ᐊᓯᐊᒍᑦ	ᐊᓯ@ᐊᒍᑦ
ᓂᕿᓄᑦ	ᓂᕿ@ᓄᑦ
ᐅᑭᐅᓂᑦ	ᐅᑭᐅ@ᓂᑦ
ᑕᕆᐅᑉ	ᑕᕆᐅ@ᑉ
ᐊᒻᒪᑕᐅᖅ	ᐊᒻᒪ@ᑕᐅᖅ
ᐱᓕᕆᕕᐅᔪᓄᑦ	ᐱ@ᓕᕆ@ᕕ@ᐅ@ᔪ@ᓄᑦ
ᐃᒻᒥᓂᒃ	ᐃᒻᒥᓂᒃ
ᐋᖅᑭᒋᐊᕈᑕᐅᔪᑦ	ᐋᖅᑭ@ᒋᐊ@ᕈᑕ@ᐅ@ᔪᑦ
ᐅᖃᓚᐅᖅᐳᖅ	ᐅᖃ@ᓚᐅᖅ@ᐳᖅ
ᓂᐅᕕᕐᓂᕐᒧᑦ	ᓂᐅᕕᕐ@ᓂᕐ@ᒧᑦ
ᖁᕐᓗᖅᑐᖅ	ᖁᕐᓗᖅᑐᖅ
ᐱᓕᕆᔨᓂᒃ	ᐱ@ᓕᕆ@ᔨ@ᓂᒃ
ᑭᓇᑐᐃᓐᓇᕐᒧᑦ	ᑭᓇ@ᑐᐃᓐᓇᕐ@ᒧᑦ
ᒪᒃᐱᖅᑐᒐᖅ	ᒪᒃᐱᖅ@ᑐ@ᒐᖅ
ᑭᓱᒥᑦ	ᑭᓱ@ᒥᑦ
ᖁᕕᐊᓱᒃᐳᑦ	ᖁᕕᐊ@ᓱᒃ@ᐳᑦ
ᐊᓪᓚᕝᕕᒃ	ᐊᓪᓚᕝ@ᕕᒃ
ᑲᔪᓯᔪᒪᓪᓗᖓ	ᑲᔪᓯ@ᔪᒪ@ᓪᓗᖓ
ᐃᓕᔅᓯᓐᓄᓕᒫᖅ	ᐃᓕ@ᔅᓯᓐᓄ@ᓕᒫᖅ
ᐊᔭᐅᖅᑐᐃᕗᑦ	ᐊᔭ@ᐅᖅ@ᑐ@ᐃ@ᕗᑦ
ᐃᓚ	ᐃᓚ
ᐊᒥᓱᓂᒃ	ᐊᒥᓱ@ᓂᒃ
ᐊᑭᓕᒃᓴᕆᔭᐅᔪᑦ	ᐊᑭ@ᓕ@ᒃᓴ@ᕆ@ᔭ@ᐅ@ᔪᑦ
ᑲᒥᓯᓇᒧᑦ	ᑲᒥᓯᓇ@ᒧᑦ
ᑭᕙᓪᓕᕐᒧᑦ	ᑭᕙᓪᓕᕐ@ᒧᑦ
ᑕᓗᕐᔪᐊᕐᒥᐅᑦ	ᑕᓗ@ᕐᔪᐊᕐ@ᒥ@ᐅᑦ
ᓇᓂ	ᓇᓂ
ᐱᔾᔪᑕᐅᔪᓂᒃ	ᐱ@ᔾᔪᑕ@ᐅ@ᔪ@ᓂᒃ
ᐊᖏᖅᑕᐅᔪᒪᒻᒪᑦ	ᐊᖏᖅ@ᑕ@ᐅ@ᔪᒪ@ᒻᒪᑦ
ᐃᓚᖓᓄᑦ	ᐃᓚ@ᖓᓄᑦ
ᑕᒪᒃᓱᒪ	ᑕᒪᒃᓱ@ᒪ
ᐊᑐᖅᑕᐅᓪᓗᓂ	ᐊᑐᖅ@ᑕ@ᐅ@ᓪᓗᓂ
ᖃᒪᓂᑦᑐᐊᑉ	ᖃᒪᓂᑦᑐᐊ@ᑉ
ᐱᖓᔪᐊᓐᓂᑦ	ᐱᖓᔪᐊᓐ@ᓂᑦ
ᐊᐅᔭᖅ	ᐊᐅᔭᖅ
ᑕᐃᒃᑯᐊᖃᐃ	ᑕᐃᒃᑯᐊ@ᖃᐃ
ᓱᓇᓄᑦ	ᓱᓇ@ᓄᑦ
ᐊᐅᓚᑦᑎᔨᐅᔪᑦ	ᐊᐅᓚᑦ@ᑎ@ᔨ@ᐅ@ᔪᑦ
ᑕᖅᑭᖅ	ᑕᖅᑭᖅ
ᒐᕙᒪᓂᑦ	ᒐᕙᒪ@ᓂᑦ
ᒥᓂᔅᑕᖓᓄᑦ	ᒥᓂᔅᑕ@ᖓᓄᑦ
ᑕᒪᑐᒨᓇ	ᑕᒪᑐ@ᒨᓇ
ᐊᖏᔪᓂᒃ	ᐊᖏ@ᔪ@ᓂᒃ
ᐊᕐᕌᒍᓂᑦ	ᐊᕐᕌᒍ@ᓂᑦ
ᐅᖃᑲᐃᓐᓇᕐᒪᑦ	ᐅᖃ@ᑲᐃᓐᓇᕐ@ᒪᑦ
ᖁᑦᑎᑦᑐᕐᒧᑦ	ᖁᑦᑎᑦᑐᕐ@ᒧᑦ
ᐅᖃᖅᑲᐅᒻᒪᑦ	ᐅᖃ@ᖅᑲᐅ@ᒻᒪᑦ
ᐅᑲᓕᖅ	ᐅᑲᓕᖅ
ᐱᓕᕆᕝᕕᐊ	ᐱ@ᓕᕆ@ᕝᕕ@ᐊ
ᓂᕆᐅᒃᐳᒍᑦ	ᓂᕆᐅᒃ@ᐳᒍᑦ
ᖃᓄᕐᓕ	ᖃᓄᕐ@ᓕ
ᑕᐃᔭᐅᔪᑦ	ᑕᐃ@ᔭ@ᐅ@ᔪᑦ
ᐊᖓᔪᖅᑳᕆᔭᐅᔪᑦ	ᐊᖓᔪᖅᑳ@ᕆ@ᔭ@ᐅ@ᔪᑦ
ᐃᓂᐅᔪᑦ	ᐃᓂ@ᐅ@ᔪᑦ
ᑕᐅᓴᓐ	ᑕᐅᓴᓐ
ᐅᕕᒃᑲᐅᔪᓂᒃ	ᐅᕕ@ᒃᑲ@ᐅ@ᔪ@ᓂᒃ
ᑕᐃᒫᑦᑕᐅᖅ	ᑕᐃᒫᑦ@ᑕᐅᖅ
ᒥᔅᑕ	ᒥᔅᑕ
ᕿᔪᒃᑖᖅ	ᕿᔪᒃ@ᑖᖅ
ᐃᓄᒻᒧᑦ	ᐃᓄᒻ@ᒧᑦ
ᓱᓇᒧᑦ	ᓱᓇ@ᒧᑦ
ᑕᐃᒃᑯᐊᒎᖅ	ᑕᐃᒃᑯᐊ@ᒎᖅ
ᖃᓄᒃᑲᓐᓂᖅ	ᖃᓄ@ᒃᑲᓐᓂᖅ
ᒫᓐᓇᑲᐅᑎᒋ	ᒫᓐᓇ@ᑲ@ᐅ@ᑎ@ᒋ
ᐱᖁᔭᑦᓴᖅ	ᐱ@ᖁ@ᔭ@ᑦᓴᖅ
ᑭᐅᖕᒪᑦ	ᑭᐅ@ᖕᒪᑦ
ᐅᑎᕐᓂᖅ	ᐅᑎᕐ@ᓂᖅ
ᑲᒪᒋᔭᖃᖅᑐᑦ	ᑲᒪ@ᒋ@ᔭ@ᖃᖅ@ᑐᑦ
ᐊᐱᕆᖕᒪᑦ	ᐊᐱᕆ@ᖕᒪᑦ
ᖁᕕᐊᓱᓚᐅᖅᑐᑦ	ᖁᕕᐊ@ᓱ@ᓚᐅᖅ@ᑐᑦ
ᑭᓱᓂᒃ	ᑭᓱ@ᓂᒃ
ᐊᕙᑎᓕᕆᔨᒃᑯᓐᓄᑦ	ᐊᕙᑎ@ᓕᕆ@ᔨ@ᒃᑯᓐ@ᓄᑦ
ᓇᒻᒥᓂᖃᕐᓂᕐᒧᑦ	ᓇᒻᒥᓂ@ᖃᕐ@ᓂᕐ@ᒧᑦ
ᓯᓚᑦᑐᖅᓴᕐᕕᖕᒧᑦ	ᓯᓚ@ᑦᑐᖅ@ᓴᕐ@ᕕᖕ@ᒧᑦ
ᓰᑏᕝᕙ	ᓰᑏᕝᕙ
ᒐᕙᒪᖓᓄᑦ	ᒐᕙᒪ@ᖓᓄᑦ
ᑕᒪᓐᓇᑦᑕᐅᖅ	ᑕᒪᓐᓇ@ᑦᑕᐅᖅ
ᐅᐱᒍᓱᓐᓂᖅ	ᐅᐱ@ᒍᓱᓐ@ᓂᖅ
ᐃᓕᒃᓯᓐᓄᑦ	ᐃᓕ@ᒃᓯᓐᓄᑦ
ᑕᒡᒐ	ᑕᒡᒐ
ᓇᓗᓇᕐᒪᑦ	ᓇᓗ@ᓇᕐ@ᒪᑦ
ᐅᒡᔪᒃ	ᐅᒡᔪᒃ
ᒪᑖᒻ	ᒪᑖᒻ
ᐱᖓᔪᐊᓐᓂᒃ	ᐱᖓᔪᐊᓐ@ᓂᒃ
ᑕᖅᑲᒃᑯᐊ	ᑕᖅᑲᒃᑯᐊ
ᐊᒥᓱᓂᑦ	ᐊᒥᓱ@ᓂᑦ
ᑕᓗᕐᔪᐊᕐᒥ	ᑕᓗ@ᕐᔪᐊᕐ@ᒥ
ᓯᕗᓪᓕᖅᐹᖅ	ᓯᕗ@ᓪᓕᖅ@ᐹᖅ
ᓴᖅᑭᑕᐅᔪᑦ	ᓴᖅᑭ@ᑕ@ᐅ@ᔪᑦ
ᖃᓄ	ᖃᓄ
ᐅᓪᓛᖅ	ᐅᓪᓛᖅ
ᐊᐅᓱᐃᑦᑐᒧᑦ	ᐊᐅᓱᐃᑦᑐ@ᒧᑦ
ᐅᓂᒃᑳᓕᐊᖅ	ᐅᓂᒃᑳ@ᓕᐊᖅ
ᐅᓂᒃᑳᒧᑦ	ᐅᓂᒃᑳ@ᒧᑦ
ᐊᐅᓱᐃᑦᑐᖅ	ᐊᐅᓱᐃᑦᑐᖅ
ᒐᕙᒪᐅᔪᓂᑦ	ᒐᕙᒪ@ᐅ@ᔪ@ᓂᑦ
ᐅᖅᓱᖅ	ᐅᖅᓱᖅ
ᐱᔭᑦᓴᒧ	ᐱ@ᔭ@ᑦᓴ@ᒧ
ᑖᓐᓇᑐᐊᖅ	ᑖᓐ@ᓇ@ᑐᐊᖅ
ᐃᓚᖓᓂᒃ	ᐃᓚ@ᖓᓂᒃ
ᐅᕙᖓ	ᐅᕙᖓ
ᐱᔪᓐᓇᕐᒪᖔᑕ	ᐱ@ᔪᓐᓇᕐ@ᒪᖔᑕ
ᑲᒪᔪᒧᑦ	ᑲᒪ@ᔪ@ᒧᑦ
ᓇᑭᑐᐃᓐᓇᖅ	ᓇᑭ@ᑐᐃᓐᓇᖅ
ᑕᐃᒫᒃᑕᐅᖅ	ᑕᐃᒫᒃ@ᑕᐅᖅ
ᑲᓇᑕ	ᑲᓇᑕ
ᖃᑦᓯᐅᕙᑦ	ᖃᑦᓯ@ᐅ@ᕙᑦ
ᑕᒪᒃᑯᓂᖓ	ᑕᒪᒃᑯ@ᓂᖓ
ᒫᓂᑑᐸ	ᒫᓂᑑᐸ
ᐱᓕᕆᕝᕕᖓᑦᑕ	ᐱ@ᓕᕆ@ᕝᕕ@ᖓᑦᑕ
ᑕᖅᑲᒃᑯᓄᖓ	ᑕᖅᑲᒃᑯ@ᓄᖓ
ᒐᕙᒪᒃᑯᓐᓄᓗ	ᒐᕙᒪ@ᒃᑯᓐ@ᓄ@ᓗ
ᑖᓚᓂᒃ	ᑖᓚ@ᓂᒃ
